Decimal Number	Random Number
0.0	1.2960368031573903
0.5	1.5594295850633264
1.0	-0.3223421293395024
1.5	1.183954576050281
2.0	-0.16621234884909403
2.5	0.4651850331170546
3.0	0.9762656265122152
3.5	-0.3141183782403126
4.0	0.3759005714912589
4.5	-1.387364186366847
5.0	-0.9915093667423589
5.5	-0.6885961972908097
6.0	0.48900741412261883
6.5	-0.4773398903586347
7.0	1.882812335295073
7.5	0.35455145574413244
8.0	1.0583147299588462
8.5	0.3111337099156518
9.0	0.072531590522547
9.5	0.3828480371152863
10.0	1.9944242545643323
10.5	1.2639646850797053
11.0	-1.8040036468549683
11.5	-0.37124106501207044
12.0	-0.552931112293636
12.5	1.2226726438474256
13.0	-1.4333776243462844
13.5	-0.9792043588979213
14.0	-0.011177032757722418
14.5	0.4768280599060885
15.0	-0.40117581447246764
15.5	1.3988063535510902
16.0	1.1715254684149257
16.5	0.5569037877649599
17.0	-0.6205698385133095
17.5	-1.6189015704993284
18.0	2.380784911327824
18.5	1.020619432691314
19.0	1.139178429402977
19.5	-0.6164117097541616
20.0	-0.35539732704204485
20.5	1.6630183746057434
21.0	-1.6161829444338833
21.5	-0.4637166406107843
22.0	-0.34021660277924204
22.5	-0.2927238918925427
23.0	0.4478095780839825
23.5	0.5418971677357314
24.0	-1.401937350395893
24.5	1.7166992877078415
25.0	1.837737621424517
25.5	-1.1851276850737
26.0	-0.20233650708595635
26.5	0.08084846707454361
27.0	1.1266906892705382
27.5	-0.5394384791639429
28.0	-0.09383739748415588
28.5	0.8644297102540747
29.0	-0.3818236454774592
29.5	2.123038998508911
30.0	-0.08549077780143505
30.5	0.3440059120538099
31.0	-0.6174398634008732
31.5	-1.1971910989118835
32.0	-0.8189005696782475
32.5	-0.6120787385231948
33.0	-0.6667345720378237
33.5	1.0177856813234993
34.0	2.142256205058462
34.5	-1.830607976133195
35.0	-0.4619606000189609
35.5	0.21304605232881926
36.0	-1.1687978178929155
36.5	2.215360858050541
37.0	-0.02564877409600737
37.5	0.5270733861988584
38.0	0.44735677088752857
38.5	-0.16726310692187613
39.0	1.0574542130982725
39.5	0.24556889417520023
40.0	0.9585737144737466
40.5	0.9634294060702683
41.0	0.34018500222909226
41.5	0.7028746874162275
42.0	2.007164198765997
42.5	-0.14868081018182003
43.0	-0.05355623449808546
43.5	-0.8069954816964964
44.0	-3.309484868805036
44.5	0.06772596902450931
45.0	0.723526083139566
45.5	0.5580400319712163
46.0	-0.8176538746064879
46.5	1.2378829633741941
47.0	-0.6889686875685648
47.5	2.2726906562940226
48.0	-1.2177851272750257
48.5	0.7576142974317329
49.0	0.19885535065517143
49.5	-1.3339139789074705
50.0	-1.257027724923363
50.5	2.0313999847836635
51.0	0.03329992119596872
51.5	1.3722347215489243
52.0	0.3278753795122519
52.5	-1.9776985982063964
53.0	-0.3425910356058654
53.5	0.9358758417378994
54.0	-0.6749931394517289
54.5	0.276259486133391
55.0	-1.8002713557220347
55.5	-0.8947964563564295
56.0	0.4531997999260259
56.5	-0.2719702798612569
57.0	-0.8755274059756277
57.5	-0.6904684309069615
58.0	-0.16645538495057446
58.5	1.0284026653857152
59.0	1.6500106703304003
59.5	0.199778381403194
60.0	0.1163541939901551
60.5	0.5434818019039845
61.0	-0.3429117952623222
61.5	-1.6107161298469963
62.0	-1.2274415342894098
62.5	0.7248192432051197
63.0	-0.5207881878818835
63.5	-0.20708033067692522
64.0	-0.10216988190692293
64.5	0.1774828203701158
65.0	0.7182049148485249
65.5	-1.161781408191268
66.0	1.645180200282721
66.5	-0.5488708432318151
67.0	2.061026027979903
67.5	0.3839514940287317
68.0	1.0088699468812283
68.5	-1.304729744225511
69.0	1.3663558967925853
69.5	-0.05284270871984854
70.0	0.12490414585468869
70.5	0.5672177771504415
71.0	-0.3321895792058868
71.5	0.09422296250409157
72.0	-0.3295756883235083
72.5	-0.8028013713143155
73.0	0.9373312423963418
73.5	0.41540181312864166
74.0	0.5728348321834226
74.5	1.1697696051316961
75.0	-2.1694985962311386
75.5	0.05362073791690038
76.0	1.2502170335273153
76.5	-0.6808543338793585
77.0	-0.5240896991712694
77.5	0.2807904951193347
78.0	0.4705243378100265
78.5	0.0787061945734104
79.0	1.0158547579726072
79.5	-1.10997618578916
80.0	-0.6601488013519048
80.5	0.7751865563764939
81.0	-1.9841262880434665
81.5	0.8723169174816179
82.0	-1.7346759955928273
82.5	0.5391429269455814
83.0	-0.5786400229258611
83.5	0.142498551834047
84.0	0.21318858104871075
84.5	-2.2975766155070323
85.0	-0.7577120228439589
85.5	-0.2268854840845255
86.0	0.7428995902487612
86.5	1.13277600150847
87.0	0.4855246651893075
87.5	-1.5640314781363438
88.0	1.958763457599919
88.5	-1.8448385978912294
89.0	0.6258203079013114
89.5	0.7664530514849105
90.0	1.5221934181699845
90.5	0.11759283718855573
91.0	-0.8912527546706144
91.5	-1.0418855399521312
92.0	0.5707844118355333
92.5	-0.29297468273350574
93.0	0.8359619878322204
93.5	0.7302146454670276
94.0	0.8921616203023232
94.5	-0.9114033304338544
95.0	-0.16918246226252442
95.5	0.18971314869580078
96.0	1.0996872085078897
96.5	0.11772756603480143
97.0	0.08075079753065177
97.5	-0.8136820266477146
98.0	-0.11983096993902854
98.5	-0.66267426158143
99.0	1.055526696203004
99.5	-0.701383989144316
100.0	-2.1551837633950304
